date,value
Jan-Jun 2020,4604368.0
Jan-Jun 2019,4518524.0
Jun-2020,771899.0
May-2020,732106.0
Apr-2020,752639.0
Mar-2020,810686.0
Feb-2020,716853.0
Jan-2020,820185.0
Dec-2019,757769.0
Nov-2019,712323.0
Oct-2019,849010.0
Sep-2019,766832.0
Aug-2019,805342.0
Jul-2019,814443.0
Jun-2019,740052.0
May-2019,803160.0
Apr-2019,758442.0
Mar-2019,730928.0
Feb-2019,697844.0
Jan-2019,788098.0
Dec-2018,689771.0
Nov-2018,729068.0
Oct-2018,819956.0
Sep-2018,719006.0
Aug-2018,822867.0
Jul-2018,775038.0
Jun-2018,744790.0
May-2018,794062.0
Apr-2018,731074.0
Mar-2018,742817.0
Feb-2018,693788.0
Jan-2018,772267.0
Dec-2017,704485.0
Nov-2017,728307.0
Oct-2017,783000.0
Sep-2017,728356.0
Aug-2017,809685.0
Jul-2017,725770.0
Jun-2017,763011.0
May-2017,782516.0
Apr-2017,690347.0
Mar-2017,771634.0
Feb-2017,679684.0
Jan-2017,749288.0
Dec-2016,709319.0
Nov-2016,712780.0
Oct-2016,731963.0
Sep-2016,745766.0
Aug-2016,793503.0
Jul-2016,708391.0
Jun-2016,754657.0
May-2016,745305.0
Apr-2016,707069.0
Mar-2016,760404.0
Feb-2016,699896.0
Jan-2016,699346.0
Dec-2015,720679.0
Nov-2015,674127.0
Oct-2015,743348.0
Sep-2015,748689.0
Aug-2015,740822.0
Jul-2015,762580.0
Jun-2015,747482.0
May-2015,704622.0
Apr-2015,725462.0
Mar-2015,741932.0
Feb-2015,654114.0
Jan-2015,724605.0
Dec-2014,728499.0
Nov-2014,644635.0
Oct-2014,770448.0
Sep-2014,731821.0
Aug-2014,709909.0
Jul-2014,743158.0
Jun-2014,712605.0
May-2014,712142.0
Apr-2014,711014.0
Mar-2014,689189.0
Feb-2014,665772.0
Jan-2014,706201.0
Dec-2013,687163.0
Nov-2013,655869.0
Oct-2013,768507.0
Sep-2013,694243.0
Aug-2013,742973.0
Jul-2013,748385.0
Jun-2013,679881.0
May-2013,743372.0
Apr-2013,719688.0
Mar-2013,679303.0
Feb-2013,649727.0
Jan-2013,734639.0
Dec-2012,642959.0
Nov-2012,674146.0
Oct-2012,745981.0
Sep-2012,663470.0
Aug-2012,760582.0
Jul-2012,722612.0
Jun-2012,706126.0
May-2012,749248.0
Apr-2012,683191.0
Mar-2012,699277.0
Feb-2012,674192.0
Jan-2012,707215.0
Dec-2011,659298.0
Nov-2011,666201.0
Oct-2011,701599.0
Sep-2011,721908.0
Aug-2011,767360.0
Jul-2011,699465.0
Jun-2011,752493.0
May-2011,745396.0
Apr-2011,686762.0
Mar-2011,764270.0
Feb-2011,659359.0
Jan-2011,713525.0
Dec-2010,724463.0
Nov-2010,709715.0
Oct-2010,723409.0
Sep-2010,754528.0
Aug-2010,768661.0
Jul-2010,730328.0
Jun-2010,744289.0
May-2010,705876.0
Apr-2010,714528.0
Mar-2010,748976.0
Feb-2010,651808.0
Jan-2010,672760.0
Dec-2009,702411.0
Nov-2009,656740.0
Oct-2009,725202.0
Sep-2009,729056.0
Aug-2009,726290.0
Jul-2009,747724.0
Jun-2009,738367.0
May-2009,693018.0
Apr-2009,722082.0
Mar-2009,727131.0
Feb-2009,657288.0
Jan-2009,694661.0
Dec-2008,709789.0
Nov-2008,638671.0
Oct-2008,778133.0
Sep-2008,753911.0
Aug-2008,743462.0
Jul-2008,785356.0
Jun-2008,746784.0
May-2008,762935.0
